timestamp_utc,equity,cash,long_value,short_value,buying_power,n_positions
2026-05-01_14:54:03,1000000.0,1000000.0,0.0,0.0,2000000.0,0
2026-05-01_15:08:50,999301.0,26475.15,1275295.95,-302470.1,420835.94,101
2026-05-04T13:20:45+00:00,994328.48,3047.45,1293242.79,-301961.75,2067869.44,105
2026-05-05T01:03:40+00:00,1017209.37,3047.45,1316797.14,-302635.22,2067869.44,105
2026-05-05T12:54:37+00:00,996583.85,3047.45,1293416.33,-299879.93,1345957.48,105
2026-05-05T14:35:19+00:00,993822.57,-306487.79,1622412.56,-322102.2,1352205.26,135
2026-05-06T02:17:23+00:00,1024720.88,-120025.07,1438402.07,-293656.12,961681.62,108
2026-05-06T12:58:46+00:00,1012790.4,-120026.95,1427222.96,-294405.61,1947905.68,108
2026-05-06T15:15:37+00:00,1016997.06,-137641.93,1473314.11,-318675.13,1585360.02,127
2026-05-07T00:11:13+00:00,1029405.08,-137641.93,1481650.31,-314603.3,1585360.02,127
2026-05-07T10:35:05+00:00,1017368.95,-137642.57,1474168.68,-319157.16,1238806.25,127
2026-05-07T15:18:15+00:00,1019254.64,-353064.58,1694984.85,-322665.63,1244389.05,150
2026-05-08T02:21:39+00:00,1024604.36,-123795.2,1431495.51,-283095.95,1083556.57,115
